Unix Time,Open,High,Low,Close,Volume,Formatted Date
1768335417,77.24,77.24,77.24,77.24,31.49000000,13/01/2026 21:16:57
1768335418,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:16:58
1768335419,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:16:59
1768335420,77.24,77.24,77.24,77.24,0.00000000,13/01/2026 21:17:00
1768335421,77.25,77.25,77.25,77.25,0.40200000,13/01/2026 21:17:01
1768335422,77.26,77.27,77.26,77.27,1.20700000,13/01/2026 21:17:02
1768335423,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:03
1768335424,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:04
1768335425,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:05
1768335426,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:06
1768335427,77.27,77.27,77.27,77.27,17.65800000,13/01/2026 21:17:07
1768335428,77.28,77.29,77.28,77.29,1.64900000,13/01/2026 21:17:08
1768335429,77.29,77.29,77.29,77.29,0.00000000,13/01/2026 21:17:09
1768335430,77.29,77.29,77.29,77.29,0.28400000,13/01/2026 21:17:10
1768335431,77.29,77.29,77.28,77.28,8.51000000,13/01/2026 21:17:11
1768335432,77.28,77.28,77.28,77.28,0.00000000,13/01/2026 21:17:12
1768335433,77.29,77.29,77.28,77.28,17.02800000,13/01/2026 21:17:13
1768335434,77.28,77.28,77.28,77.28,0.06400000,13/01/2026 21:17:14
1768335435,77.28,77.28,77.28,77.28,0.00000000,13/01/2026 21:17:15
1768335436,77.27,77.27,77.27,77.27,1.52800000,13/01/2026 21:17:16
1768335437,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:17
1768335438,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:18
1768335439,77.26,77.26,77.26,77.26,0.89000000,13/01/2026 21:17:19
1768335440,77.26,77.26,77.26,77.26,1.62900000,13/01/2026 21:17:20
1768335441,77.26,77.26,77.26,77.26,0.00000000,13/01/2026 21:17:21
1768335442,77.26,77.26,77.26,77.26,0.00000000,13/01/2026 21:17:22
1768335443,77.26,77.26,77.26,77.26,4.17800000,13/01/2026 21:17:23
1768335444,77.26,77.26,77.25,77.25,7.23800000,13/01/2026 21:17:24
1768335445,77.25,77.25,77.25,77.25,0.00000000,13/01/2026 21:17:25
1768335446,77.25,77.25,77.25,77.25,0.00000000,13/01/2026 21:17:26
1768335447,77.24,77.25,77.24,77.25,2.75500000,13/01/2026 21:17:27
1768335448,77.26,77.26,77.26,77.26,4.04800000,13/01/2026 21:17:28
1768335449,77.27,77.27,77.27,77.27,0.89600000,13/01/2026 21:17:29
1768335450,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:30
1768335451,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:31
1768335452,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:32
1768335453,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:33
1768335454,77.27,77.27,77.27,77.27,0.00000000,13/01/2026 21:17:34
1768335455,77.26,77.26,77.26,77.26,1.16500000,13/01/2026 21:17:35
